Project ID,Category,Quantity,Cost price,Sales price
QTE-000041,PAIDSER-SUBS,0.5,70.0,175.0
QTE-000041,PAIDSER-MILEAGE,832.0,0.36,0.45
QTE-000025,PAIDSER-SUBS,3.0,77.72,175.0
QTE-000025,PAIDSER-MILEAGE,990.0,0.36,0.45
QTE-000025,PAIDSER-OTH,1.0,10.0,10.0
QTE-000025,PAIDSER-HOTEL,1.0,132.0,0.0
QTE-000016,PAIDSER-OTH,1.0,3.5,4.0
QTE-000016,PAIDSER-SUBS,1.0,75.12,175.0
QTE-000016,PAIDSER-HOTEL,1.0,69.58,0.0
QTE-000054,PAIDSER-SUBS,1.0,14.61,175.0
QTE-000054,PAIDSER-MILEAGE,240.0,0.36,0.45
QTE-000025,PAIDSER-SUBS,3.0,77.72,175.0
QTE-000025,PAIDSER-MILEAGE,990.0,0.36,0.45
QTE-000025,PAIDSER-OTH,1.0,10.0,10.0
QTE-000025,PAIDSER-HOTEL,1.0,132.0,0.0
QTE-000055,PAIDSER-MILEAGE,56.0,0.36,0.45
QTE-000056,PAIDSER-SUBS,1.0,7.5,7.5
QTE-000056,PAIDSER-MILEAGE,80.0,0.36,0.45
QTE-000057,PAIDSER-SUBS,4.0,81.2,175.0
QTE-000057,PAIDSER-MILEAGE,790.0,0.36,0.45
QTE-000057,PAIDSER-HOTEL,1.0,223.0,0.0
QTE-000058,PAIDSER-SUBS,2.0,98.29,175.0
QTE-000058,PAIDSER-MILEAGE,566.0,0.36,0.45
QTE-000058,PAIDSER-HOTEL,1.0,90.3,0.0
QTE-000059,PAIDSER-FLIGHT,1.0,417.73,417.73
QTE-000059,PAIDSER-OTH,1.0,140.0,140.0
QTE-000059,PAIDSER-SUBS,2.0,56.18,175.0
QTE-000059,PAIDSER-CARHIRE,1.0,47.85,47.85
QTE-000059,PAIDSER-HOTEL,1.0,101.18,0.0
QTE-000040,PAIDSER-SUBS,0.5,25.6,175.0
QTE-000040,PAIDSER-MILEAGE,162.0,0.36,0.45
QTE-000025,PAIDSER-MILEAGE,1190.0,0.36,0.45
QTE-000025,PAIDSER-SUBS,3.0,103.09,175.0
QTE-000025,PAIDSER-HOTEL,1.0,205.0,0.0
QTE-000003,PAIDSER-SUBS,2.0,102.0,175.0
QTE-000003,PAIDSER-MILEAGE,596.0,0.36,0.45
QTE-000003,PAIDSER-HOTEL,1.0,191.0,0.0
QTE-000008,PAIDSER-FLIGHT,1.0,385.81,385.81
QTE-000008,PAIDSER-SUBS,4.0,96.83,175.0
QTE-000008,PAIDSER-CARHIRE,1.0,226.68,226.68
QTE-000008,PAIDSER-OTH,1.0,89.77,89.77
QTE-000008,PAIDSER-OTH,1.0,15.16,15.16
QTE-000008,PAIDSER-HOTEL,1.0,346.25,0.0
QTE-000060,PAIDSER-MILEAGE,272.0,0.36,0.45
QTE-000035,PAIDSER-SUBS,1.0,36.4,175.0
QTE-000035,PAIDSER-HOTEL,1.0,90.2,0.0
QTE-000035,PAIDSER-MILEAGE,160.0,0.36,0.45
QTE-000069,WAR-SUBS,1.0,568.83,426.62
QTE-000069,WAR-HOTEL,1.0,267.2,200.4
QTE-000069,WAR-MILEAGE,1560.0,0.36,0.27
QTE-000069,WAR-OTH,1.0,80.4,60.3
QTE-000069,WAR-MILEAGE,1145.0,0.36,0.27
QTE-000069,WAR-OTH,1.0,63.8,47.85
QTE-000069,WAR-SUBS,1.0,281.95,211.45
QTE-000069,WAR-HOTEL,1.0,169.6,127.2
QTE-000070,WAR-MILEAGE,318.0,0.36,0.27
QTE-000070,WAR-SUBS,1.0,114.0,85.5
QTE-000070,WAR-HOTEL,1.0,165.3,123.98
QTE-000071,WAR-MILEAGE,256.0,0.36,0.27
QTE-000005,PAIDSER-OTH,1.0,7.47,7.47
QTE-000005,PAIDSER-OTH,1.0,99.54,99.54
QTE-000005,PAIDSER-FREIGHT,1.0,788.08,788.08
QTE-000005,PAIDSER-CARHIRE,1.0,206.0,206.0
QTE-000005,PAIDSER-SUBS,3.0,42.25,175.0
QTE-000061,PAIDSER-FLIGHT,1.0,767.68,767.68
QTE-000061,PAIDSER-OTH,1.0,335.0,335.0
QTE-000061,PAIDSER-CARHIRE,1.0,346.72,346.72
QTE-000061,PAIDSER-SUBS,5.0,65.53,175.0
QTE-000062,PAIDSER-SUBS,0.5,85.44,175.0
QTE-000062,PAIDSER-MILEAGE,438.0,0.36,0.45
QTE-000043,PAIDSER-SUBS,3.0,94.16,175.0
QTE-000043,PAIDSER-OTH,1.0,133.21,133.21
QTE-000043,PAIDSER-CARHIRE,1.0,71.77,71.77
QTE-000043,PAIDSER-FLIGHT,1.0,184.2,184.2
QTE-000063,PAIDSER-SUBS,1.0,116.51,175.0
QTE-000063,PAIDSER-MILEAGE,504.0,0.36,0.45
QTE-000037,PAIDSER-HOTEL,1.0,185.41,0.0
QTE-000037,PAIDSER-MILEAGE,613.0,0.38,0.0
QTE-000075,PAIDSER-SUBS,2.0,95.04,0.0
QTE-000075,PAIDSER-MILEAGE,1130.0,0.36,0.45
QTE-000075,PAIDSER-OTH,1.0,31.8,31.8
QTE-000054,PAIDSER-ALLOW,1.0,11.18,11.18
QTE-000054,PAIDSER-MILEAGE,96.0,0.36,0.45
QTE-000076,PAIDSER-FLIGHT,1.0,949.41,949.41
QTE-000076,PAIDSER-CARHIRE,1.0,226.29,226.29
QTE-000076,PAIDSER-OTH,1.0,136.86,136.86
QTE-000076,PAIDSER-SUBS,4.0,67.99,175.0
