Customer account,Service hours,Warranty hours,Installation hours,Maintenance hours,Helpdesk hours,Training hours
10025,17.0,5.0,75.0,0.0,0.0,0.0
10080,75.5,0.0,0.0,0.0,0.0,0.0
10081,83.25,0.0,0.0,0.0,0.0,0.0
10110,40.5,0.0,0.0,0.0,0.0,0.0
10283,665.5,109.0,400.0,13.0,7.0,0.0
1034,158.5,0.0,0.0,83.5,1.5,0.0
10350,35.5,0.0,0.0,0.0,1.5,0.0
10393,0.0,0.0,103.0,0.0,0.0,0.0
10485,750.5,142.5,0.0,0.0,0.0,0.0
10604,3.0,0.0,0.0,0.0,0.0,0.0
10668,100.0,0.0,0.0,0.0,0.0,0.0
10717,429.5,0.0,0.0,0.0,0.0,0.0
10899,0.0,0.0,196.0,0.0,0.0,0.0
10908,41.5,44.5,0.0,37.0,0.0,0.0
10957,877.0,342.5,172.5,0.0,0.0,0.0
11017,56.0,0.0,0.0,0.0,0.0,0.0
11018,0.0,0.0,25.0,0.0,0.0,0.0
11023,483.0,0.0,0.0,0.0,0.0,0.0
11081,104.0,0.0,0.0,0.0,2.0,0.0
11143,114.5,108.0,109.0,0.0,0.0,0.0
11403,0.0,0.0,0.0,0.0,1.0,0.0
11449,50.0,0.0,0.0,0.0,0.0,0.0
11474,7.5,0.0,0.0,0.0,0.0,0.0
11517,134.5,0.0,0.0,0.0,0.0,0.0
11613,23.0,55.0,0.0,0.0,0.0,0.0
11681,0.0,0.0,0.0,0.0,6.0,0.0
11727,40.0,0.0,0.0,0.0,0.0,0.0
11737,379.5,58.5,0.0,0.0,0.0,0.0
11759,183.0,0.0,0.0,0.0,3.0,0.0
11783,126.0,0.0,0.0,0.0,0.0,0.0
11795,41.5,12.5,35.5,0.0,0.0,0.0
11888,46.0,85.0,0.0,0.0,1.0,0.0
11934,426.0,0.0,0.0,39.0,0.0,0.0
11970,0.0,270.5,101.5,0.0,0.0,0.0
12031,37.5,0.0,0.0,0.0,0.0,0.0
12167,30.5,67.0,89.0,0.0,0.0,0.0
12202,28.0,0.0,0.0,0.0,0.0,0.0
12230,204.0,0.0,0.0,145.5,0.0,0.0
12233,21.5,0.0,0.0,0.0,0.0,0.0
12302,0.0,70.0,0.0,0.0,0.0,0.0
12307,66.0,0.0,0.0,0.0,36.0,0.0
12328,55.0,0.0,0.0,0.0,3.5,0.0
12350,23.5,0.0,0.0,0.0,0.0,0.0
12359,43.0,12.0,0.0,56.5,0.0,0.0
12370,41.0,0.0,0.0,0.0,0.0,0.0
12378,0.0,1.5,53.5,0.0,0.0,0.0
12388,31.5,0.0,0.0,0.0,2.0,0.0
12406,451.0,65.5,0.0,0.0,0.0,0.0
12430,26.0,0.0,0.0,0.0,0.0,0.0
12439,177.0,0.0,0.0,0.0,1.0,0.0
12549,0.0,0.0,0.0,0.0,0.0,0.0
12704,59.0,0.0,0.0,0.0,0.0,0.0
12709,21.5,0.0,0.0,0.0,2.0,0.0
12733,184.0,39.0,75.0,0.0,0.0,0.0
12745,73.0,0.0,0.0,0.0,0.0,0.0
12748,58.0,0.0,0.0,97.0,0.75,0.0
12777,24.5,66.5,43.0,0.0,2.0,0.0
1278,27.0,0.0,0.0,0.0,0.0,0.0
12796,124.5,6.0,47.5,0.0,2.0,0.0
12803,74.5,0.0,0.0,0.0,0.0,0.0
12811,44.5,0.0,0.0,0.0,0.0,0.0
12822,15.0,0.0,0.0,0.0,0.0,0.0
12829,183.0,0.0,0.0,0.0,2.0,41.5
12839,0.0,0.0,0.0,0.0,0.0,0.0
12843,403.0,0.0,0.0,0.0,15.5,0.0
12892,39.5,0.0,0.0,0.0,0.0,0.0
12915,107.0,0.0,0.0,0.0,0.0,0.0
12930,53.0,0.0,0.0,0.0,0.0,0.0
12931,13.0,0.0,0.0,0.0,3.0,0.0
12944,69.0,0.0,0.0,0.0,0.0,0.0
12965,122.0,0.0,0.0,0.0,0.0,0.0
12977,105.5,10.5,0.0,0.0,0.0,0.0
12991,118.0,0.0,0.0,0.0,0.0,40.0
12997,15.5,0.0,0.0,0.0,0.0,0.0
13021,19.5,0.0,56.0,0.0,0.0,0.0
13024,19.5,0.0,0.0,0.0,0.0,0.0
13095,40.0,0.0,0.0,0.0,0.0,0.0
13260,37.0,0.0,0.0,0.0,0.0,0.0
13278,73.0,0.0,0.0,0.0,0.0,0.0
13339,0.0,30.0,154.0,0.0,3.0,0.0
13363,52.0,0.0,0.0,0.0,0.0,0.0
13381,97.0,0.0,0.0,0.0,0.0,0.0
13392,141.5,0.0,0.0,0.0,0.0,0.0
13430,71.5,0.0,0.0,0.0,0.0,0.0
13448,1.0,1.0,232.0,0.0,0.0,0.0
13481,13.0,0.0,0.0,0.0,0.0,0.0
13522,45.5,0.0,0.0,0.0,0.0,0.0
13526,26.5,2.0,100.5,0.0,0.0,0.0
13574,37.5,0.0,0.0,0.0,0.0,0.0
13598,254.5,0.0,0.0,101.5,2.0,0.0
13749,91.0,0.0,0.0,0.0,0.0,0.0
14059,17.5,48.0,69.0,0.0,0.0,0.0
14172,130.5,0.0,0.0,0.0,1.5,0.0
14355,0.0,0.0,0.0,0.0,2.0,0.0
14393,12.5,0.0,0.0,0.0,0.0,0.0
14396,5.5,0.0,0.0,0.0,0.0,0.0
1442,56.0,0.0,0.0,0.0,0.0,0.0
14429,227.5,0.0,0.0,0.0,0.0,0.0
14436,61.8,0.0,0.0,0.0,0.0,0.0
14559,15.0,0.0,0.0,0.0,0.0,0.0
1457,0.0,64.0,56.0,0.0,0.0,0.0
14641,5.0,0.0,0.0,0.0,0.0,0.0
14656,34.5,0.0,0.0,0.0,0.0,0.0
14678,20.0,336.5,516.0,0.0,6.0,0.0
14711,54.0,0.0,0.0,0.0,2.0,0.0
14713,367.5,282.0,179.5,229.5,0.0,0.0
14725,7.0,0.0,0.0,0.0,0.0,0.0
1480,30.0,0.0,0.0,0.0,3.0,0.0
14807,40.5,0.0,107.0,0.0,0.0,0.0
14834,197.5,0.0,69.0,0.0,0.0,0.0
14858,11.0,107.0,160.0,0.0,0.0,28.0
14872,0.0,0.0,0.0,0.0,1.5,0.0
15004,0.0,0.0,0.0,0.0,3.0,0.0
15034,0.0,148.0,82.0,0.0,0.0,0.0
15095,53.0,0.0,0.0,0.0,0.0,0.0
15225,105.0,0.0,161.0,0.0,0.0,0.0
15261,163.0,13.0,0.0,0.0,5.0,0.0
15324,0.0,0.0,0.0,0.0,4.0,0.0
15353,24.5,0.0,0.0,0.0,0.0,0.0
15370,63.5,0.0,0.0,0.0,2.0,0.0
