Project ID,Country/region,Project group,Customer account,Project date,Category,Worker,Hours,Cost price,Sales currency,Sales price,Cost,Revenue,Profit,Travel or Work,Year
PR190001,FRA,SERVICE,1748,2018-10-09,PAID-TRAVELHRS,technician 1,13.5,65.0,EUR,95.0,877.5,1282.5,405.0,Travel,2018
PR190001,FRA,SERVICE,1748,2018-10-09,PAID-NOR-HRS,technician 1,17.5,65.0,EUR,115.0,1137.5,2012.5,875.0,Work,2018
PR190001,FRA,SERVICE,1748,2018-10-09,PAID-LABOUR-OVERTIME,technician 1,4.0,65.0,EUR,170.0,260.0,680.0,420.0,Work,2018
PR190001,FRA,SERVICE,1748,2018-10-12,PAID-TRAVELHRS,technician 1,13.5,65.0,EUR,95.0,877.5,1282.5,405.0,Travel,2018
PR190001,FRA,SERVICE,1748,2018-10-12,PAID-NOR-HRS,technician 1,17.5,65.0,EUR,115.0,1137.5,2012.5,875.0,Work,2018
PR190001,FRA,SERVICE,1748,2018-10-12,PAID-LABOUR-OVERTIME,technician 1,4.0,65.0,EUR,170.0,260.0,680.0,420.0,Work,2018
PR190002,ROU,SERVICE,12930,2018-10-09,PAID-TRAVELHRS,technician 2,14.5,65.0,EUR,95.0,942.5,1377.5,435.0,Travel,2018
PR190002,ROU,SERVICE,12930,2018-10-09,PAID-TRAVELHRSOVER,technician 2,8.5,65.0,EUR,115.0,552.5,977.5,425.0,Travel,2018
PR190002,ROU,SERVICE,12930,2018-10-09,PAID-NOR-HRS,technician 2,25.5,65.0,EUR,115.0,1657.5,2932.5,1275.0,Work,2018
PR190002,ROU,SERVICE,12930,2018-10-09,PAID-LABOUR-OVERTIME,technician 2,4.5,65.0,EUR,170.0,292.5,765.0,472.5,Work,2018
PR190003,TUR,SERVICE,15745,2018-10-12,PAID-TRAVELHRS,technician 3,17.0,65.0,EUR,95.0,1105.0,1615.0,510.0,Travel,2018
PR190003,TUR,SERVICE,15745,2018-10-12,PAID-LABOUR-OVERTIME,technician 3,5.0,65.0,EUR,170.0,325.0,850.0,525.0,Work,2018
PR190003,TUR,SERVICE,15745,2018-10-12,PAID-NOR-HRS,technician 3,7.0,65.0,EUR,0.0,455.0,0.0,-455.0,Work,2018
PR190003,TUR,SERVICE,15745,2018-10-12,PAID-LABOUR-OVERTIME,technician 3,1.0,65.0,EUR,0.0,65.0,0.0,-65.0,Work,2018
PR190004,TUR,SERVICE,15745,2018-10-12,PAID-TRAVELHRS,technician 3,1.0,65.0,EUR,95.0,65.0,95.0,30.0,Travel,2018
PR190004,TUR,SERVICE,15745,2018-10-12,PAID-TRAVELHRSOVER,technician 3,1.0,65.0,EUR,115.0,65.0,115.0,50.0,Travel,2018
PR190004,TUR,SERVICE,15745,2018-10-12,PAID-NOR-HRS,technician 3,7.0,65.0,EUR,115.0,455.0,805.0,350.0,Work,2018
PR190004,TUR,SERVICE,15745,2018-10-12,PAID-LABOUR-OVERTIME,technician 3,1.0,65.0,EUR,170.0,65.0,170.0,105.0,Work,2018
PR190005,BEL,INSTAL,14713,2018-10-12,INST-TRAVELHRS,technician 1,8.0,65.0,EUR,0.0,520.0,0.0,-520.0,Travel,2018
PR190005,BEL,INSTAL,14713,2018-10-12,INST-NOR-HRS,technician 1,31.0,65.0,EUR,0.0,2015.0,0.0,-2015.0,Work,2018
PR190005,BEL,INSTAL,14713,2018-10-12,INST-LABOUR-OVERTIME,technician 1,8.0,65.0,EUR,0.0,520.0,0.0,-520.0,Work,2018
PR190006,DEU,WAR,12733,2018-10-15,WAR-TRAVELHRS,technician 1,14.0,65.0,EUR,59.25,910.0,829.5,-80.5,Travel,2018
PR190006,DEU,WAR,12733,2018-10-15,WAR-NOR-HRS,technician 1,17.5,65.0,EUR,59.25,1137.5,1036.875,-100.625,Work,2018
PR190006,DEU,WAR,12733,2018-10-15,WAR-LABOUR-OVERTIME,technician 1,7.5,65.0,EUR,59.25,487.5,444.375,-43.125,Work,2018
PR190008,DEU,SERVICE,16236,2018-10-16,PAID-TRAVELHRS,technician 5,6.5,65.0,EUR,95.0,422.5,617.5,195.0,Travel,2018
PR190008,DEU,SERVICE,16236,2018-10-16,PAID-TRAVELHRSOVER,technician 5,2.5,65.0,EUR,115.0,162.5,287.5,125.0,Travel,2018
PR190008,DEU,SERVICE,16236,2018-10-16,PAID-NOR-HRS,technician 5,9.5,65.0,EUR,115.0,617.5,1092.5,475.0,Work,2018
PR190008,DEU,SERVICE,16236,2018-10-16,PAID-NOR-HRS,technician 5,4.0,65.0,EUR,115.0,260.0,460.0,200.0,Work,2018
PR190008,DEU,SERVICE,16236,2018-11-20,PAID-TRAVELHRS,technician 1,7.0,65.0,EUR,95.0,455.0,665.0,210.0,Travel,2018
PR190008,DEU,SERVICE,16236,2018-11-20,PAID-NOR-HRS,technician 1,6.0,65.0,EUR,115.0,390.0,690.0,300.0,Work,2018
PR190008,DEU,SERVICE,16236,2019-01-14,PAID-TRAVELHRS,technician 6,7.0,65.0,EUR,95.0,455.0,665.0,210.0,Travel,2019
PR190008,DEU,SERVICE,16236,2019-01-14,PAID-TRAVELHRSOVER,technician 6,1.5,65.0,EUR,115.0,97.5,172.5,75.0,Travel,2019
PR190008,DEU,SERVICE,16236,2019-01-14,PAID-NOR-HRS,technician 6,12.5,65.0,EUR,115.0,812.5,1437.5,625.0,Work,2019
PR190008,DEU,SERVICE,16236,2019-02-11,PAID-TRAVELHRS,technician 5,6.0,65.0,EUR,95.0,390.0,570.0,180.0,Travel,2019
PR190008,DEU,SERVICE,16236,2019-02-11,PAID-TRAVELHRSOVER,technician 5,3.0,65.0,EUR,115.0,195.0,345.0,150.0,Travel,2019
PR190008,DEU,SERVICE,16236,2019-02-11,PAID-NOR-HRS,technician 5,13.5,65.0,EUR,115.0,877.5,1552.5,675.0,Work,2019
PR190008,DEU,SERVICE,16236,2019-02-11,PAID-LABOUR-OVERTIME,technician 5,1.0,65.0,EUR,170.0,65.0,170.0,105.0,Work,2019
PR190010,FRA,SERVICE,1034,2018-10-16,PAID-TRAVELHRS,technician 7,18.5,65.0,EUR,95.0,1202.5,1757.5,555.0,Travel,2018
PR190010,FRA,SERVICE,1034,2018-10-16,PAID-NOR-HRS,technician 7,10.0,65.0,EUR,115.0,650.0,1150.0,500.0,Work,2018
PR190012,DEU,SERVICE,BVSE-0005,2018-10-16,PAID-TRAVELHRS,technician 2,7.0,65.0,EUR,95.0,455.0,665.0,210.0,Travel,2018
PR190012,DEU,SERVICE,BVSE-0005,2018-10-16,PAID-TRAVELHRSOVER,technician 2,2.0,65.0,EUR,115.0,130.0,230.0,100.0,Travel,2018
PR190012,DEU,SERVICE,BVSE-0005,2018-10-16,PAID-NOR-HRS,technician 2,9.0,65.0,EUR,115.0,585.0,1035.0,450.0,Work,2018
PR190012,DEU,SERVICE,BVSE-0005,2018-10-16,PAID-LABOUR-OVERTIME,technician 2,2.0,65.0,EUR,170.0,130.0,340.0,210.0,Work,2018
PR190013,NLD,SERVICE,12822,2018-10-16,PAID-TRAVELHRS,technician 2,5.0,65.0,EUR,95.0,325.0,475.0,150.0,Travel,2018
PR190013,NLD,SERVICE,12822,2018-10-16,PAID-TRAVELHRSOVER,technician 2,3.0,65.0,EUR,115.0,195.0,345.0,150.0,Travel,2018
PR190013,NLD,SERVICE,12822,2018-10-16,PAID-NOR-HRS,technician 2,7.0,65.0,EUR,115.0,455.0,805.0,350.0,Work,2018
PR190018,FRA,SERVICE,2066,2018-10-24,PAID-TRAVELHRS,technician 2,5.0,65.0,EUR,95.0,325.0,475.0,150.0,Travel,2018
PR190018,FRA,SERVICE,2066,2018-10-24,PAID-TRAVELHRSOVER,technician 2,1.0,65.0,EUR,115.0,65.0,115.0,50.0,Travel,2018
PR190018,FRA,SERVICE,2066,2018-10-24,PAID-NOR-HRS,technician 2,15.5,65.0,EUR,115.0,1007.5,1782.5,775.0,Work,2018
PR190018,FRA,SERVICE,2066,2018-10-24,PAID-LABOUR-OVERTIME,technician 2,0.5,65.0,EUR,170.0,32.5,85.0,52.5,Work,2018
PR190018,FRA,SERVICE,2066,2019-03-25,PAID-TRAVELHRS,technician 5,11.0,65.0,EUR,95.0,715.0,1045.0,330.0,Travel,2019
PR190018,FRA,SERVICE,2066,2019-03-25,PAID-NOR-HRS,technician 5,14.5,65.0,EUR,115.0,942.5,1667.5,725.0,Work,2019
PR190018,FRA,SERVICE,2066,2019-03-25,PAID-LABOUR-OVERTIME,technician 5,3.0,65.0,EUR,170.0,195.0,510.0,315.0,Work,2019
PR190018,FRA,SERVICE,2066,2019-06-03,PAID-TRAVELHRS,technician 3,2.0,65.0,EUR,95.0,130.0,190.0,60.0,Travel,2019
PR190018,FRA,SERVICE,2066,2019-06-03,PAID-NOR-HRS,technician 3,5.0,65.0,EUR,115.0,325.0,575.0,250.0,Work,2019
PR190018,FRA,SERVICE,2066,2020-01-10,PAID-TRAVELHRS,technician 1,7.0,65.0,EUR,0.0,455.0,0.0,-455.0,Travel,2020
PR190018,FRA,SERVICE,2066,2020-01-10,PAID-TRAVELHRSOVER,technician 1,2.5,65.0,EUR,0.0,162.5,0.0,-162.5,Travel,2020
